,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
380,M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,negative
381,M,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,negative
382,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,negative
383,M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,negative
384,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,positive
385,M,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,negative
386,F,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,negative
387,M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,negative
388,F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,negative
389,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,negative
390,F,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,negative
391,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,negative
392,M,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,negative
393,F,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,negative
394,F,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,negative
395,F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,negative
396,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,negative
397,F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,negative
398,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,negative
399,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,negative
400,F,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,negative
401,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,negative
402,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,negative
403,I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,negative
404,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,negative
405,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,negative
406,M,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,negative
407,M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,negative
408,M,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,negative
409,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,negative
410,M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,negative
411,F,0.345,0.25,0.09,0.203,0.078,0.059,0.055,negative
412,M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,negative
413,F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,negative
414,M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,negative
415,M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,negative
416,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,negative
417,F,0.57,0.445,0.155,0.733,0.282,0.159,0.235,negative
418,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,negative
419,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,negative
420,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,negative
421,F,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,negative
422,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,negative
423,F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,negative
424,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,negative
425,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,negative
426,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,negative
427,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,negative
428,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,negative
429,F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,negative
430,F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,negative
431,M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,negative
432,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,negative
433,M,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,negative
434,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,negative
435,I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,negative
436,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,negative
437,I,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,negative
438,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,negative
439,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,negative
440,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,negative
441,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,negative
442,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,negative
443,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,negative
444,F,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,negative
445,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,negative
446,I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,negative
447,F,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,negative
448,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,negative
449,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,negative
450,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,negative
451,I,0.485,0.355,0.13,0.581,0.245,0.132,0.168,negative
452,M,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,negative
453,F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,negative
454,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,negative
455,I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,negative
456,F,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,negative
457,F,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,negative
458,I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,negative
459,F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,negative
460,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,negative
461,I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,negative
462,F,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,negative
463,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,negative
464,F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,positive
465,I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,negative
466,F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,negative
467,I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,negative
468,F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,negative
469,F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,negative
470,I,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,negative
471,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,negative
472,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,negative
473,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,positive
474,M,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,negative
475,I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,negative
476,F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,negative
477,I,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,negative
478,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,negative
479,I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,negative
480,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,negative
481,I,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,negative
482,I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,negative
483,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,negative
484,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,negative
485,M,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,negative
486,M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,negative
487,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,negative
488,M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,negative
489,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,negative
490,I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,negative
491,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,negative
492,M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,negative
493,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,negative
494,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,negative
495,M,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,negative
496,M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,negative
497,M,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,negative
498,I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,negative
499,F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,negative
500,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,negative
501,F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,negative
502,F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,negative
503,F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,negative
504,I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,negative
505,M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,negative
506,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,negative
507,F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,negative
508,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,negative
509,I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,negative
510,M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,negative
511,M,0.355,0.265,0.09,0.168,0.05,0.041,0.063,negative
512,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,negative
513,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,negative
514,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,negative
515,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,negative
516,M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,negative
517,I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,negative
518,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,negative
519,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,negative
520,I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,negative
521,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,negative
522,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,negative
523,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,negative
524,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,negative
525,M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,negative
526,M,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,negative
527,F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,negative
528,M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,negative
529,F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,negative
530,F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,negative
531,I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,negative
532,F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,negative
533,F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,negative
534,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,positive
535,F,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,negative
536,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,negative
537,F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,negative
538,M,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,negative
539,F,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,negative
540,F,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,negative
541,F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,positive
542,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,negative
543,F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,negative
544,F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,negative
545,M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,negative
546,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,negative
547,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,negative
548,I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,negative
549,F,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,negative
550,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,negative
551,M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,negative
552,M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,negative
553,F,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,negative
554,F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,negative
555,M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,negative
556,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,negative
557,F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,negative
558,M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,negative
559,I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,negative
560,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,negative
561,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,negative
562,F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,negative
563,F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,negative
564,M,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,negative
565,F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,negative
566,F,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,negative
567,M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,negative
568,M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,negative
569,M,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,negative
570,F,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,negative
571,M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,negative
572,I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,negative
573,M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,negative
574,M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,negative
575,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,negative
576,I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,negative
577,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,negative
578,I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,negative
579,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,negative
580,I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,negative
581,M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,negative
582,M,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,negative
583,M,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,negative
584,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,negative
585,M,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,negative
586,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,negative
587,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,negative
588,F,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,negative
589,M,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,negative
590,M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,negative
591,M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,negative
592,M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,negative
593,M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,negative
594,M,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,negative
595,M,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,negative
596,M,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,negative
597,F,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,negative
598,F,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,negative
599,F,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,negative
600,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,negative
601,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,negative
602,F,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,negative
603,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,negative
604,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,negative
605,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,negative
606,F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,negative
607,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,negative
608,F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,negative
609,F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,negative
610,M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,negative
611,M,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,negative
612,M,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,negative
613,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,negative
614,M,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,negative
615,M,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,negative
616,F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,negative
617,F,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,negative
618,M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,negative
619,F,0.61,0.47,0.145,1.153,0.403,0.296,0.32,negative
620,M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,negative
621,F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,negative
622,F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,negative
623,F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,negative
624,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,negative
625,M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,negative
626,M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,negative
627,M,0.53,0.41,0.165,0.732,0.189,0.17,0.31,negative
628,M,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,negative
629,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,negative
630,M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,negative
631,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,negative
632,M,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,negative
633,M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,negative
634,M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,negative
635,I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,negative
636,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,negative
637,M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,negative
638,F,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,negative
639,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,negative
640,F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,negative
641,F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,negative
642,F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,negative
643,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,negative
644,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,negative
645,M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,negative
646,M,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,negative
647,M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,negative
648,M,0.44,0.335,0.11,0.394,0.157,0.096,0.122,negative
649,M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,negative
650,F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,negative
651,M,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,negative
652,M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,negative
653,I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,negative
654,I,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,negative
655,F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,negative
656,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,negative
657,F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,negative
658,M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,negative
659,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,negative
660,I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,negative
661,I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,negative
662,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,negative
663,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,negative
664,I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,negative
665,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,negative
666,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,negative
667,I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,negative
668,I,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,negative
669,I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,negative
670,I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,negative
671,I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,negative
672,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,negative
673,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,negative
674,I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,negative
675,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,negative
676,M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,negative
677,I,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,negative
678,I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,negative
679,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,negative
680,I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,negative
681,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,negative
682,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,negative
683,I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,negative
684,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,negative
685,I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,negative
686,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,negative
687,F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,negative
688,M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,negative
689,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,negative
690,M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,negative
691,M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,negative
692,F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,negative
693,M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,negative
694,M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,negative
695,M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,negative
696,F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,negative
697,F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,negative
698,F,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,negative
699,M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,negative
700,F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,negative
701,M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,negative
702,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,negative
703,M,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,negative
704,F,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,negative
705,M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,negative
706,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,negative
707,F,0.625,0.49,0.155,1.2085,0.465,0.162,0.411,negative
708,F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,negative
709,M,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,negative
710,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,negative
711,M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,negative
712,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,negative
713,M,0.66,0.52,0.19,1.558,0.755,0.298,0.4,negative
714,F,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,negative
715,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,negative
716,F,0.68,0.56,0.195,1.7775,0.861,0.322,0.415,negative
717,F,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475,negative
718,F,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,negative
719,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,negative
720,I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,negative
721,I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,negative
722,I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,negative
723,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,negative
724,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,negative
725,I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,negative
726,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,negative
727,I,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,negative
728,I,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,negative
729,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,negative
730,I,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,negative
731,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,negative
732,I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,negative
733,I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,negative
734,I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,negative
735,I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,negative
736,I,0.335,0.25,0.075,0.186,0.0945,0.038,0.0445,negative
737,I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,negative
738,I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,negative
739,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,negative
740,I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,negative
741,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,negative
742,I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,negative
743,I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,negative
744,I,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,negative
745,I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,negative
746,I,0.42,0.32,0.115,0.376,0.169,0.092,0.1,negative
747,I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,negative
748,I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,negative
749,I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,negative
750,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,negative
751,I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,negative
752,I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,negative
753,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,negative
754,F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,negative
755,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,negative
756,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,negative
757,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,negative
758,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,negative
759,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,negative
